task,seed,delta_R2_3_minus_0,monotonic_nondecreasing
Isothermal P,0,0.037174266083780494,False
Isothermal P,1,0.04248188654884755,True
Isothermal P,2,0.02481490822229926,False
Isothermal P,3,0.06526077257471286,True
Isothermal P,4,0.008924403736729758,False
Isothermal y,0,0.033752444752303545,False
Isothermal y,1,0.014359651552855346,True
Isothermal y,2,0.010822478594305407,False
Isothermal y,3,0.020162921140246204,False
Isothermal y,4,0.02051541038949911,False
Isobaric T,0,0.17284325724656513,True
Isobaric T,1,0.12072589573371917,True
Isobaric T,2,0.1344898704798797,False
Isobaric T,3,0.05293537407335691,False
Isobaric T,4,0.10872469889324121,False
Isobaric y,0,0.06485865893846277,False
Isobaric y,1,0.035565138664560236,True
Isobaric y,2,0.03485311674363201,False
Isobaric y,3,0.022040145547741585,False
Isobaric y,4,0.034587208805099356,False
