protocol,seed,stage,sample_id,T_exp_K,P_exp_kPa,T_bubble_K
vle_overall_ternary,4,stage2,state_0ef8623473b403c5c32a7f6f,357.62,13.33,334.71270751953125
vle_overall_ternary,4,stage2,state_518c09cda8e89375b1b4d1c9,362.15,13.33,336.67718505859375
vle_overall_ternary,4,stage2,state_3fb3c26f8db7275066f38a53,363.7,13.33,336.1253662109375
vle_overall_ternary,4,stage2,state_705b570093eb02a986873c8f,365.1,13.33,337.11334228515625
vle_overall_ternary,4,stage2,state_3e2cceed97471bc199d2843d,368.55,13.33,337.57568359375
vle_overall_ternary,4,stage2,state_5884bff2349d586e59c99edc,369.4,13.33,337.9085388183594
vle_overall_ternary,4,stage2,state_79771519f05f7d5f13287cf6,371.8,13.33,339.3623046875
vle_overall_ternary,4,stage2,state_cda2b8a9ec8015d16c9a5442,372.35,13.33,339.04803466796875
vle_overall_ternary,4,stage2,state_f251cb1c8ff1f38f23edd087,373.21,13.33,340.9682922363281
vle_overall_ternary,4,stage2,state_b0984db9574fe6410372e2c4,373.79999999999995,13.33,340.7284851074219
vle_overall_ternary,4,stage2,state_91dae4e9d75bee03e9f6e3e0,373.9,13.33,339.62640380859375
vle_overall_ternary,4,stage2,state_d92a4ee89a093b3af541c01b,383.32,13.33,345.9557800292969
vle_overall_ternary,4,stage2,state_e093ddd479844bf87d202362,385.08,13.33,347.5379943847656
vle_overall_ternary,4,stage2,state_e14d9045b7058f9c0c2f4c98,386.52,13.33,346.9355773925781
vle_overall_ternary,4,stage2,state_5ae01bcdbb8cc14e96b9d422,387.84,13.33,350.40911865234375
vle_overall_ternary,4,stage2,state_7d883f5d6ac9a486d8c0bb27,388.2,13.33,352.82891845703125
vle_overall_ternary,4,stage2,state_a5e93cd98a59e19ee41817d8,391.91999999999996,13.33,355.51776123046875
