epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,experimental,51.191898345947266,14.662956584430507,0.5871216236499318,1.0338979611653791,0.0,0.0,1.1456439408658883,0.041573330982387885,0.1484496256349132,0.1882635508392721,0.0,0.0,0.2527387151865781,0.010157317205222014
2,experimental,34.43727111816406,14.405618338145286,0.1774982774859812,0.2524772395721864,0.0,0.0,0.31427445320306585,0.01053755469493025,0.2080389657026416,0.17618216678344858,0.0,0.0,0.3067509017057904,0.010620853610126648
3,experimental,19.426244735717773,9.134028343237514,0.11360519644748922,0.1850001363279569,0.0,0.0,0.21638553092262988,0.010280266663382644,0.10798525495956018,0.16749338553516066,0.0,0.0,0.19767509977339529,0.005943153092922023
4,experimental,16.269779205322266,6.7435380365687685,0.0855357466344732,0.15257326362552145,0.0,0.0,0.17122913225055317,0.00940675373598942,0.08611836335105007,0.1309460789824029,0.0,0.0,0.15861775928447028,0.007026352738341457
5,experimental,13.057760238647461,6.1977350975422,0.07196162960810192,0.15376829080933693,0.0,0.0,0.15884574834048137,0.009999974668933936,0.10079082356940597,0.156834681091829,0.0,0.0,0.18772849751205842,0.008520333801015325
6,experimental,16.52018165588379,6.640275229248887,0.06541686599384863,0.14053686830589857,0.0,0.0,0.1449428892705489,0.009257588452700888,0.07647132069091721,0.15438165416533342,0.0,0.0,0.16181139562080274,0.008149245847815992
7,experimental,17.67852783203125,6.391414795272218,0.05488006253245931,0.12310480693021623,0.0,0.0,0.1255561870548128,0.009123721408533706,0.052445993087797495,0.12973501707314714,0.0,0.0,0.1259061138846259,0.008592613453386954
8,experimental,21.802228927612305,6.001395007571076,0.047628810414538904,0.11307799639275705,0.0,0.0,0.11257304647189771,0.008405236751354338,0.04180161006049756,0.10324354300756237,0.0,0.0,0.1011315631873764,0.007708182036796737
9,experimental,28.70359230041504,7.141351065169118,0.04237520272978309,0.1037364707825238,0.0,0.0,0.1019216006321037,0.007678162941629549,0.039908562785164116,0.10139239142271436,0.0,0.0,0.09705694358747916,0.006452182842878788
10,experimental,19.045738220214844,6.132414135202479,0.0368574167535202,0.08923221752091402,0.0,0.0,0.08834271497009473,0.006869189143922133,0.04314954094428873,0.09436076965381732,0.0,0.0,0.09715088403879098,0.006820957117001934
11,experimental,14.639176368713379,6.2828782140106805,0.034833268207507435,0.08507213763198299,0.0,0.0,0.08323665898208601,0.0058673221220866675,0.03039137880671324,0.07297400965290812,0.0,0.0,0.07229302767812658,0.0054146436640934515
12,experimental,28.31386375427246,7.026749243377503,0.02641912612019671,0.07092953891739343,0.0,0.0,0.0669420755203047,0.005058179674723833,0.025065654227515805,0.06550369206370568,0.0,0.0,0.06263518042446718,0.004817680178089085
