variant,parameters,p_mae_mean,p_mae_std,p_rmse_mean,p_rmse_std,p_r2_mean,p_r2_std,t_mae_mean,t_mae_std,t_rmse_mean,t_rmse_std,t_r2_mean,t_r2_std,y_mae_mean,y_mae_std,y_rmse_mean,y_rmse_std,y_r2_mean,y_r2_std,valid_coverage
c0_current_vanilla,1780419,17.092362657575016,5.275444478519992,37.37049824252129,12.819128286967684,0.8886276440403946,0.05047504965208382,5.515134823138694,1.4447744366048723,7.882298947290275,1.9766542213536513,0.9284523281663517,0.024302428132054847,0.06413574741729798,0.017566494209057086,0.09266244073203721,0.021433737249325017,0.9099707665792041,0.04304679047715579,1.0
c1_three_view_vanilla,2015043,8.204989395613925,3.308621791864071,19.01833018608813,7.823498234148395,0.9696541304829417,0.019382811915371903,2.5126441852689885,0.37095339381351716,4.1459783223165685,0.9106158648732223,0.9789192677894862,0.012082541703099293,0.028802774600504743,0.005044494655745052,0.050696526715563905,0.009902146397316507,0.9735577788478851,0.010126558448310551,1.0
c2_chemical_bias_full,2201284,8.302751271263535,3.748426946849807,19.761394365922776,9.40592259955377,0.9675399513627692,0.022366644576022707,2.7061893210056587,0.5741496252596547,4.647547028763585,1.2316948950343056,0.9729536287139038,0.01837395415509174,0.028567504690586398,0.005518997060308562,0.05081339661178332,0.012085857584063282,0.9730895907407545,0.012191342818182592,1.0
c3_no_pair_bias,2052675,8.740607046376024,4.25253981517955,21.5513741984103,11.093892879571724,0.9621584456370484,0.02982459402838683,2.4750637312386092,0.24103758183694327,4.251353368481188,0.6926492207922742,0.9784226200669854,0.008859201327993931,0.027140857959573363,0.0043435900948686455,0.048288154325037455,0.010428910999572476,0.9758731018242042,0.010210376426833043,1.0
c4_no_functional_group,2084164,8.36744163010683,4.428929586530133,19.128598933953686,11.16220456609458,0.9678556316789921,0.02895537134530093,2.5590436189909593,0.4449942487405214,4.290554329352029,1.478929079348803,0.975410251468159,0.02215737824213232,0.02886070197130754,0.004259823065382292,0.04986358769229462,0.009509139271381176,0.974450731790441,0.009129433156293134,1.0
