epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,5.0843000411987305,2.0853027949470855,0.5,0.002350595505417171,0.006556466653279132,0.0013971099205567898,0.0,0.006734713688441964,0.00040732988130020084,0.015520575588796309,0.001403723865451096,0.0,0.0,0.017409864034227326,0.001187426360601823
2,physics,6.745941638946533,2.2753935729842154,1.0,0.00205218188229535,0.006387675850624424,0.0011910355388847203,0.0,0.006841653352042279,0.00040459801988689106,0.0154915105929492,0.001239485618704616,0.0,0.0,0.01730559196478472,0.0011943385522763497
3,physics,4.949922561645508,2.083914973243146,1.0,0.001981052981428531,0.006182625152384064,0.0011410840109937447,0.0,0.006607547501463271,0.0003940979861144644,0.015422353174955402,0.001182796487885634,0.0,0.0,0.01718304879280466,0.0011692973235145252
4,physics,6.539565086364746,2.0838202544845594,1.0,0.0019268423606156558,0.006513404322351569,0.0011103712638387438,0.0,0.006686684477087309,0.0003927686946195785,0.015434195426281869,0.00115089930661347,0.0,0.0,0.017178330961032412,0.0011686861803335469
5,physics,4.8071770668029785,1.9761103718734432,1.0,0.0019029569960846925,0.006110198402857341,0.0011067070356127918,0.0,0.0064417201811610755,0.0003769569214584065,0.015508197861250232,0.0010959289030552796,0.0,0.0,0.017213814652620247,0.0011576521083678888
6,physics,5.966300964355469,2.1480737354409074,1.0,0.0018724503725647307,0.0060962125919580374,0.0010791548383045349,0.0,0.00638268295239177,0.00038297146785928936,0.015377580581642894,0.0010658610492383983,0.0,0.0,0.01705988063314241,0.0011493694496507785
7,physics,3.991831064224243,1.7670718410064428,1.0,0.0018398693846637109,0.005902531531789819,0.0010654258849910137,0.0,0.006235093494742147,0.00037853251919311255,0.015380654102025736,0.0010980879266247847,0.0,0.0,0.017052864597037955,0.0011231671083874995
8,physics,5.5958757400512695,2.213736508323621,1.0,0.001833420601179817,0.005699297953824165,0.001059636227024059,0.0,0.0061245124393201405,0.0003818066696659985,0.015399659179827137,0.001047779638294512,0.0,0.0,0.017067063882476453,0.0011435148525245917
9,physics,4.866219997406006,2.008278305461716,1.0,0.001809350318796416,0.005723238491185838,0.0010441018362254563,0.0,0.0060922531832359305,0.0003771817541722937,0.015587777282487645,0.0010011475464725406,0.0,0.0,0.017237334340299146,0.001148983594421286
10,physics,5.93670654296875,2.0849772279006182,1.0,0.0018004088585924889,0.006036771166664033,0.0010426248002368224,0.0,0.006235628202091796,0.00037420897603053076,0.015570680360160745,0.0009685730569322715,0.0,0.0,0.017203416522297663,0.001148449680707997
